SMS,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
Hahahhaha wo aik msla hai mre sath ego agy a jati hai :P kia krun uska ??,0,0,0,0,0,0,0,0,0,0,1,0
waqar na aya to tum log sunday ko a jana hum loug apni krlay gay umer ko ptaya hai?,0,1,0,0,0,0,0,0,0,0,1,0
Han yar acha hua tha yhi tu keh rahi :( maam ko pta nahi kia msla hai theory mein tu ane nahi maam lab mein hi de den ,0,0,1,0,0,0,0,0,0,0,1,0
Mein ghr nae houn ga. Czn hoga tum loug final practice kr lena. Abdur rehman wagera saray.,0,0,0,0,0,0,0,0,0,0,1,0
Sorry Anum today I would be in leave but I would be available after 1:30 for half an hour,1,0,1,0,0,0,0,0,0,0,0,0
"Yar agr tu mazaq kr raha hai to meine tughay bohat phenta lagana hai. Surgery say aik din bad bnda kese chl phir sakta hai,",0,0,0,0,0,0,0,0,0,0,0,1
"AOA ma'am! It was just to remind you your favor of performing an invigilation duty in the early morning tomorrow.
Please try to be there.",0,0,0,0,0,0,0,0,0,0,0,1
Bus dua karna uss din mujhe Uber mil jaye after match ?? ??,0,0,0,0,0,0,0,0,0,0,0,1
It's okay Anum I just wanted to discuss something regarding testing we shall discuss tomorrow,0,0,0,0,0,0,0,0,0,0,0,1
Sorry bhai Wouldn't be able to make today I have to leave for multan.,0,0,0,0,0,0,0,0,0,0,0,1
Me ne tmhara msg fb wala aj dkha me ne aiman ko btaya to wo kehti k uska to mob thek b ho gya ,1,0,0,0,0,0,0,0,0,0,0,0
Jee Uber mil jaye bus iss don Hahaha Maan jayein gay hopefully ??,1,0,1,0,0,0,0,0,0,0,0,0
Han tough boht hn na yr sara research paper pe kam ha   buht late hu gae ha me anti r uncle g sy nae mili,0,1,0,0,0,0,0,0,0,0,1,0
